phrase,topics1,topics2,topics3,topics4
"Снять деньги в офисе, кассе, у операциониста",Заказ денег УКД (_General_ZAKAZ_DENGI_UKD),Заказ денег УКД (_Local_Zakaz_Dengi_UKD),,
Отказ от рекламных звонков ,Реклама (_Local_Advertising),,,
Не знаю номер карты/счета для входа в приложение,Временный пароль (_Local_Temp_Password),,,
"Мне звонили, оформили кредит (действие совершено)",Мошенничество_UNI (_General_Fraud_UNI),,,
Не знаю сумму кредита,Условия (_Local_Conditions),Кредит наличными (Про платеж) (_Local_DIS_Credit),,
Партнерская программа,Вместо консультации на оператора,,,
Курьер не отдает карту ,Курьерская доставка (_General_Express_Delivery),Курьерская доставка (CourierDelivery),,
Сотрудник / менеджер не отдает карту ,Вместо консультации на оператора,,,
Заказать стикер к карте кредитной или кредитный стикер,Вместо консультации на оператора,,,
"Заказать  стикер, Заказать стикер",Платежные Стикеры (_General_Payment_Stickers),,,
Заказал стикер ,УВ Карта (UV_Card),Карта (_Local_Card),,
Мне перевели на заблокированный счет/карту,Вместо консультации на оператора,,,
перевела на заблокированный счет/карту,Отменить перевод (_Local_Cancel_Transfer_Payment),,,
Электронная подпись,Вместо консультации на оператора,,,
 тревел,Без вопроса (_General_Whithout_Question),,,
"Хочу связь с оператором уточнить информацию по поводу того что пополнила кредитную карту деньги получается / 
Хотела бы узнать поступил ли у меня платеж на кредитную карту последние семьсот рублей",Кредитная картаКредитка (_Local_Credit_Card),,,
Статус платежа,Выписка (_General_BankStatement),Движение денежных средств (_Local_Transactions),,
Внесение платежа,УВ Платеж (UV_Payment),,,
Не  могу получить выписку ,Выписка (_General_BankStatement),Движение денежных средств (_Local_Transactions),,
Не могу получить квитанцию ,Квитанция (_General_Cheque),,,
Не могу получить справку ,Справка (_General_Reference),Справка (_Local_Reference),,
Не могу обновить данные паспорта ,Замена паспорта (_General_PassportChange),,,
Не могу активировать карту  ,Активация (_General_Activation),Активация (_Local_Activate),,
Не могу заказать карту ,Вместо консультации на оператора,,,
Не могу поменять номер в банке ,Смена номера телефона (_General_Change_phone),Привязать номер (_Local_Bind_Number),,
Актуализировать номер телефона,Смена номера телефона (_General_Change_phone),Привязать номер (_Local_Bind_Number),,
Снятие с карты в банкомате стороннего банка,УВ Снятие наличных (UV_CashWithdrawal),Снятие наличных (_Local_Cash_Withdrawal),,
Мне нужнА карта ,УВ Получение карты (UV_TakeCard)  ,,,
Мне нужнО карту,УВ Карта (UV_Card),Карта (_Local_Card),,
Не получиЛ карту / Не получилИ карту,Готовность карт (_General_TAKE_CARD),Готовность карт (CardReadiness),,
Проблема с получением карты / Не могу получить карту,Вместо консультации на оператора,,,
Как мне заказать карту через ссылку по пригласи друга,Условия (_Local_Conditions),,,
Делали заявку на карту,УВ Карта (UV_Card),Карта (_Local_Card),,
Нужно кредит / Не нужен кредит / Не нужнО кредит / Мне не надо кредит / Хочу кредит / Нужен кредит,УВ Кредит (UV_Credit),Кредит (_Local_Credit),Другой кредит (_Local_Other_Credit),Кредит наличными (Про платеж) (_Local_DIS_Credit)
Сервис заправки / Заправки / Не прошла оплата на заправке,Вместо консультации на оператора,,,
Кэшбэк заправка,Кэшбэк (_Local_Cashback),,,
 Афиша / купить билет в кино / купить билет в театр,Вместо консультации на оператора,,,
Сервис  Тревел / купить авиабилет / купить жд билет / оплатить отель,Вместо консультации на оператора,,,
Мне не могут перевести из другого банка / мне не могут перевести,Проблема с переводом (_Local_Cant_Transfer),,,
Активация,Активация (_Local_Activate),,,
Вопросы по  форексу,Вместо консультации на оператора,,,
Вопросы по  капиталу,Вместо консультации на оператора,,,
Покупка драгоценных металлов в слитках,Вместо консультации на оператора,,,
Хочу перевести на счету доверительного управления на свой текущий счет,Вместо консультации на оператора,,,
Хочу снять деньги с инвест копилки,_General Инвестиции (_General_Investing),,,
Почему не нужно оплатить ежемесячный платёж ,Вместо консультации на оператора,,,
Хочу заблокировать (без уточнения чего-либо),Потерял карту (_Local_Lost_Card),,,
Уменьшить лимит ,УВ Лимит (UV_Limit),Лимиты (_Local_Limits),,
"Если клиент называет номер телефона и спрашивает, к нему ли привязана карта",Запрос кодового слова (_General_Codeword_request),,,
Ставка по кредиту,Условия (_Local_Conditions),,,
Я хочу лимит повысить,УВ Лимит (UV_Limit),Лимиты (_Local_Limits),,
Найти старый счет,Вместо консультации на оператора,,,
Наличие чипов детской карте,Вместо консультации на оператора,,,
По поводу кредитной карты снять собственные средства остатки,Вместо консультации на оператора,,,
Поменяли номер которого у меня нет,Смена номера телефона (_General_Change_phone),Привязать номер (_Local_Bind_Number),,
Связаться с оператором узнать что за счет мне открыли,Вместо консультации на оператора,,,
Снятие наличных с белорусской карты мир,Вместо консультации на оператора,,,
Можно ли выбрать офис куда доставить карту,Вместо консультации на оператора,,,
Заказывала кредитную карту пришел отказ банка,Вместо консультации на оператора,,,
Мне нужно открыть личный кабинет но у меня нет карты у меня нет счета,Временный пароль (_Local_Temp_Password),,,
Не могу войти в приложение так как номер сменился заблокирован,Смена номера телефона (_General_Change_phone),Привязать номер (_Local_Bind_Number),,
"Подвердить платеж, по движению средств, по истории",Выписка (_General_BankStatement),Движение денежных средств (_Local_Transactions),,
По списанию,УВ Странные операции (UV_Strange_Operation),,,
Оформил кредит деньги не поступили соедините со специалистом ,Когда поступят деньги (_Local_Get_Money),,,
Не могу снять деньги с кк,Вместо консультации на оператора,,,
Не могу перевести с кк,Проблема с переводом (_Local_Cant_Transfer),,,
Сколько карт можно иметь на одного человека,Вместо консультации на оператора,,,
Трудности с платежом кредита,Способы погашения_пополнения (_General_Repay_credit),О способах пополнения (_Local_Repay_Credit),,
По списанию процентов (без уточнения продукта),УВ Странные операции (UV_Strange_Operation),,,
случайно перевела не в тот банк,Отменить перевод (_Local_Cancel_Transfer_Payment),,,
получить одноразовый код доступа,Временный пароль (_Local_Temp_Password),,,
подобрать адрес доставки карты,Курьерская доставка (_General_Express_Delivery),Курьерская доставка (CourierDelivery),,
"Такие фразы как ""блин""",Без вопроса (_General_Whithout_Question),"если с матами,тогда на Невозможно",,
"Ограничение/приостановление по счетам , по карте",Вместо консультации оператора,,,
Положить деньги,_General Способы погашения_пополнения (_General_Repay_credit),О способах пополнения (_Local_Repay_Credit),,
"Хочет заказать карту и уточняет что ему нет 18 лет, но не говорит какую именно карту",УВ Заказ новой карты,Новый продукт (_Local_Open),,
Восстановить доступ к приложению/восстановить вход в приложение,_General Разблокировать приложение (_General_Unlock_App),Нет доступа (_Local_No_Access),,
Восстановить приложение,скачать/обновить (_Local_Download),,,
Премиальный клиент я или нет,_General Трансфер (_General_Transfer),,,
"Не открывается ссылка, которую вы направили / не открывается ссылка (без всякого уточнения)",Вместо консультации / Без вопроса,,,
"Позвонить, дозвониться",_General Приветствие (_General_Hello),,,
Где деньги / где мои деньги,Не зачислил деньги на карту (_Local_Didnt_Money_On_Card),Не дошел (платеж) (_Local_Not_Received),Когда поступят деньги (_Local_Get_Money),Статус (_Local_Status)
Связаться по добавочному номеру/ ввести добавочный номер/ добавочный номер,Вместо консультации оператора,,,
Не нужна мне комиссия мне нужны наличные деньги у меня Оформлен кредит в вашем банке пятьсот три/здравствуйте я вот Сегодня заказала кредит наличными мне одобрили мне нужно Снять наличные как это сделать,УВ Снятие наличных (UV_CashWithdrawal),Снятие наличных (_Local_Cash_Withdrawal),,
Не зайти в приложение банка после обновления данных,_General Разблокировать приложение (_General_Unlock_App),Нет доступа (_Local_No_Access),,
Начислили проценты почему,Вместо консультации оператора,,,
Ускорить процесс получения кредита,Вместо консультации оператора,,,
 карта одноразовый код,Без вопроса (_General_Whithout_Question),,,
Лизинг,Вместо консультации оператора,,,
Представитель,Курьерская доставка (_General_Express_Delivery),Курьерская доставка (CourierDelivery),,
Получить доступ в приложение/доступ к личному кабинету,Нет доступа (_Local_No_Access),,,
Мой вопрос по акции рекомендуется инвестиции,Акция (_Local_Action),,,
обслуживание,Условия (_Local_Conditions),,,
доступ в личный кабинет ребенка,Нет доступа (_Local_No_Access),,,
заблокирован личный кабинет поэтому я хочу получить ответ на свое обращение,_General Разблокировать приложение (_General_Unlock_App),Нет доступа (_Local_No_Access),,
доступ к карте/счету,УВ Карта/УВ Счет,Карта (_Local_Card),,
списывают деньги с другого счета\ пытаетесь долги списали с другого счета,УВ Странные операции (UV_Strange_Operation),,,
Cменить контактный номер на карте ребенка,Вместо консультации оператора,,,
как оплатить а деньги (и подобные),_General Способы погашения_пополнения (_General_Repay_credit),О способах пополнения (_Local_Repay_Credit),,
отменить комиссию/вернуть комиссию,Комиссия (_Local_Commission),,,
кредитование,_General Без вопроса (_General_Whithout_Question),,,
 перезвоните мне/заказать обратный звонок/пусть он мне перезвонит,_General Без вопроса (_General_Whithout_Question),,,
Меня просили перезвонить,Вместо консультации на оператора,,,
Кредитная и дебетовая карта,"по обеим, обе (_Local_Both)",,,
Мошенники взломали госуслуги,Вместо консультации на оператора,,,
Войти в карту/войти в счет,Нет доступа (_Local_No_Access),,,
активировать номер,_General_Подтверждение сим-карты (_General_Sim_Confirmation),подтверждение симкарты (_Local_Sim_Confirmation),,
восстановить номер ,Смена номера телефона (_General_Change_phone),Привязать номер (_Local_Bind_Number),,
не могу зайти в приложение пишет номер телефона не зарегистрирован,Смена номера телефона (_General_Change_phone),Привязать номер (_Local_Bind_Number),,
 банк украл деньги,УВ Странные операции,,,
приложение пишет что я сменил номер семь/не могу сделать перевод пишет что из-за смена номера,_General_Подтверждение сим-карты (_General_Sim_Confirmation),подтверждение симкарты (_Local_Sim_Confirmation),,
банкомат взял купюры и положил ее на карту,Выписка (_General_BankStatement),Движение денежных средств (_Local_Transactions),,
Через банкомат пополнял стороннюю карту,_General Без вопроса (_General_Whithout_Question),,,
Не пришли деньги по СБП,Проблема с переводом (_Local_Cant_Transfer),,,
у меня нет  карты,Без вопроса,,,
можно ли с кредитной карты оплатить обучение в университете /садик,Вместо консультации на оператора,,,
можно связаться с верой,Оператор (Operator),_General Оператор (_General_Operator),,
на горячую линию домклик,_General Оформление Ипотеки (_General_Reg_Mortage),,,
заблокирован перевод/Перевела деньги заблокировали/ разблокировать перевод,Проблема с переводом (_Local_Cant_Transfer),,,
персональный менеджер,Оператор (Operator),_General Оператор (_General_Operator),,
войти в программу долями,_General_Podeli (_General_Подели) ,,,
почему поставили ограничения на переводы,Проблема с переводом (_Local_Cant_Transfer),,,
апельсиновая карта,_General_Банк X5 (_General_X5),,,
вопрос по изготовлению карты,УВ Получение карты (UV_TakeCard),,,
Потерял симку/номер,Разблокировать карту (_General_UnBlock),,,
подключить карту,УВ Карта (UV_Card),Карта (_Local_Card),,
справки и выписки,Выписка (_General_BankStatement),Движение денежных средств (_Local_Transactions),,
Нет доступа к карте/счету;Восстановить доступ к карте/счету  ,"Вместо консультации на оператора
",,,
Восстановить доступ,_General Без вопроса (_General_Whithout_Question),,,
Сделать вклад на накопительный счёт,_General Накопительный счет (_General_Saving),,,
договор,_General Без вопроса (_General_Whithout_Question),,,
Поменять выбранные категории кэшбэка ,"Вместо консультации на оператора
",,,
Ограничения на снятие наличных/денежных средств,УВ Снятие наличных (UV_CashWithdrawal),Снятие наличных (_Local_Cash_Withdrawal),,
Номер не совпадает с карточкой,Вместо консультации на оператора,,,
телефон горячей линии,_General Приветствие (_General_Hello),,,
реквизиты банка зарплатный проект,_General Номер счета УКД (_General_REKVISIT_UKD),,,
не могу зайти в приложение просит позвонить в банк,_General Разблокировать приложение (_General_Unlock_App),Нет доступа (_Local_No_Access),,
восстановить номер карты,Вместо консультации на оператора,,,
заблокировать карту взломали мошенники,_General Мошенничество_UNI (_General_Fraud_UNI),,,
два раза оплачен штраф,Отменить платеж (_Local_Cancel_Payment),Вернуть деньги (_Local_Return_Money),,
Партнеры,Терминалы партнеров (_Local_PartnerSalon_PaymentTerminal),Банкоматы партнеров (_Local_ATM_Partners),,
возврат денежных средств по азс заправки,_General Отмена платежа (_General_Cancel_Payment),,,
сохранение прожиточного минимума,Вместо консультации на оператора,,,
Позовите\ Позовите кожанного мешка\ Соедините с кожанным,Оператор (Operator),_General Оператор (_General_Operator),,
пополнение кредитной карты,Способы погашения_пополнения (_General_Repay_credit),О способах пополнения (_Local_Repay_Credit),,
у меня по терминалу не проходит оплата по qr коду ,_General Платеж по QR (_General_Payment_QR),,,
не проходит оплата по терминалу по карте,_General Карта не работает (_General_Cardnotworking),,,
снять наличные,УВ Снятие наличных (UV_CashWithdrawal),Снятие наличных (_Local_Cash_Withdrawal),,
переведите на,_General Без вопроса (_General_Whithout_Question),,,
Добрый день позовите оператора/алло оператора,_General Приветствие (_General_Hello),,,
заблокировать карту,Потерял карту (_Local_Lost_Card),,,
дебетовую хотел отключить,Дебетовая карта (_Local_Debit_Card),,,
Награждение деньги вам и друзьям,Акция (_Local_Action),,,
мне не пришел кб,Проблема (_Local_Some_Problems),Кэшбэк (_Local_Cashback),,
Вывести деньги,_General Без вопроса (_General_Whithout_Question),,,
проверил деньги не пришли/срок зачисления/когда придут деньги,Не зачислил деньги на карту (_Local_Didnt_Money_On_Card),Не дошел (платеж) (_Local_Not_Received),Когда поступят деньги (_Local_Get_Money),Статус (_Local_Status)
все вместе и то и другое не зачислил и не вернул карту,УВ Проблемы с банкоматами (UV_ATM_Problems),Проблема с банкоматом (_Local_ATM_Problem),Банкоматы (_Local_ATM),
войти в личный кабинет по временному паролю или другим данным,Временный пароль (_Local_Temp_Password),,,
зайти по номеру карты,Получается (или дословно Можно войти) (_Local_Can_Enter),,,
вопрос по оформлению кредита/получить кредит,_General Заказ продуктов банка (_General_OrderCards),Оформить кредит (_Local_New_Credit),,
Вопрос по моему кредиту/оформил кредит ,Имеющийся кредит (_Local_Current_Credit),Другой кредит (_Local_Other_Credit),Кредит наличными (Про платеж) (_Local_DIS_Credit),Кредит (_Local_Credit)
Кредит/кредит на карту,УВ Кредит (UV_Credit),Кредит (_Local_Credit),Другой кредит (_Local_Other_Credit),Кредит наличными (Про платеж) (_Local_DIS_Credit)
Лимит,УВ Лимит (UV_Limit),Лимиты (_Local_Limits),,
Узнать про оформление,Новый продукт (_Local_Open),Оформить кредит (_Local_New_Credit),Оформить займ (_Local_New_MFO),
Открыть счет и закрыть карту (когда 2 вопроса в одном),_General Без вопроса (_General_Whithout_Question),,,
в АВС выбираем локал _Local_Activate с переводом Активация,,,,
В приложении,_General АМ Подключение (_General_AM_Connection),Приложение или -Онлайн (_Local_AM_Online),Приложение (_Local_Application),
Оформить карту,УВ Заказ новой карты (UV_OrderCard),Новый продукт (_Local_Open),,
Перевыпустить карту,Действующая карта (CurrentCard),,,
Деньги отправила на  банк а деньги не пришли,Статус (_Local_Status),Не дошел (платеж) (_Local_Not_Received),,
Обе обе и кредитную и дебетовую карту хочу закрыть,"по обеим, обе (_Local_Both)",,,
По кредитной карте вопрос о снятии наличности,УВ Снятие наличных (UV_CashWithdrawal),Снятие наличных (_Local_Cash_Withdrawal),,
Да за что списали где где как бы узнать за что списали,Да (Agree),УВ Странные операции (UV_Strange_Operation),,
Отказаться\ вопрос по закрытию,Отказаться (_Local_Refuse),,,
Про кредитную которую перевожу с кредитной на дебетовую взимается комиссия,Перевод (_Local_Remittance),Комиссия (_Local_Commission),,
По задолженности по кредиту,Кредит наличными (Про платеж) (_Local_DIS_Credit),,,
Я хочу с кредитной карты/дебетовой отказаться от страховки/ отказаться от страховки по карте,Комиссия (_Local_Commission),Кредитная карта (именно карта) (_Local_CreditCard_Karta),,
Процент за снятие наличных с кредитной карты,_General Проценты по КК (_General_Percent_Credit_Card),,,
Невозможно перевести по номеру телефона,Проблема с переводом (_Local_Cant_Transfer),,,
Ну тарифы,Условия (_Local_Conditions),,,
Оплатить платеж по страховке,платеж (_Local_Payment),,,
Не знаю,_General Без вопроса (_General_Whithout_Question),,,
Войти в приложение / получить доступ к приложению / зарегистрироваться в приложении,Нет доступа (_Local_No_Access),,,
Оплатить коммунальный платеж,_General Коммунальный платеж (_General_CommunalPayment),платеж (_Local_Payment),,
Другой платеж,Другой платеж (_Local_Other_Payment),платеж (_Local_Payment),,
Что-то безвопросное + оператор,_General Оператор (_General_Operator),Оператор (Operator),,
Другой кредит,УВ Кредит (UV_Credit),Другой кредит (_Local_Other_Credit),Кредит (_Local_Credit),Кредит наличными (Про платеж) (_Local_DIS_Credit)
Банк отправителя не одобрил,Проблема с переводом (_Local_Cant_Transfer),,,
Перевести с кредитной карты,УВ Перевод (UV_Remittance),Перевод (_Local_Remittance),,
По другим данным,Получается (или дословно Можно войти) (_Local_Can_Enter),,,
Какой процент по займу,Условия (_Local_Conditions),,,
Узнать срок возврата,Когда поступят деньги (_Local_Get_Money),,,
Вернуть деньги,Вернуть деньги (_Local_Return_Money),,,
Банкомат не зачислил деньги ,Не зачислил деньги на карту (_Local_Didnt_Money_On_Card),Банкоматы (_Local_ATM),,
Отменить покупку,Отменить платеж (_Local_Cancel_Payment),,,
Не могу войти в личный кабинет не приходит ли код доступа,Временный пароль (_Local_Temp_Password),,,
Не получается зайти по номеру карты и по номеру телефона,Временный пароль (_Local_Temp_Password),,,
Первое первое временный пароль,Первое (_Local_First),Временный пароль (_Local_Temp_Password),,
С банкомата не могу снять по карте наличные,Не выдал деньги (_Local_Didnt_Give_Money),Банкоматы (_Local_ATM),,
Пароль\нужен пароль\ войти по пароль,Временный пароль (_Local_Temp_Password),,,
Переводила я с другого банка себе на  банк,Статус (_Local_Status),Мне (переводили) (_Local_To_Me),,
Я случайно оплатила заказ два раза,Отменить платеж (_Local_Cancel_Payment),Вернуть деньги (_Local_Return_Money),,
Сделали новую карту прошло два дня деньги так и не приходят на счет,Не зачислил деньги на карту (_Local_Didnt_Money_On_Card),Не дошел (платеж) (_Local_Not_Received),Когда поступят деньги (_Local_Get_Money),Проблема (_Local_Some_Problems)
Проблема,Проблема (_Local_Some_Problems),Проблема с банкоматом (_Local_ATM_Problem),Проблема с переводом (_Local_Cant_Transfer),
Первое/второе + понятная фраза,Локал первое/второе + тематика,,,
Да/Нет не ставим только с Вместо консультации оператора,,,,
График работы отделения,_General График работы УКД (_General_GRAFIK_OFFICE_UKD),Отделение (_Local_Bank_Branch),,
Набор цифр ( пять сорок восемьсот) \ + оператор,Цифры (Numbers),,,
Сумма кратная 1000 (шестьсот тысяч),Более 500 тыс. ₽ (_Local_More_500),займы более 100 тыс (_Local_MoreNumbers ),,
Узнать сумму для закрытия кредита,Кредит наличными (Про платеж) (_Local_DIS_Credit),,,
Я не спрашиваю о комиссии за снятие или переводы я говорю о комиссии которую с меня списали просто,УВ Странные операции (UV_Strange_Operation),,,
Возникли проблемы с награждением нет кэшбэка,Проблема (_Local_Some_Problems),Кэшбэк (_Local_Cashback),,
Сколько потраченных денег мне связаться с оператором,_General Выписка (_General_BankStatement),Движение денежных средств (_Local_Transactions),,
Мне пришли деньги не на тот счет,_General Между Счетами УКД (_General_MEZHDU_SCHETAMI_UKD),,,
Частичное погашение,Частично (_Local_Partly) ,,,
Страховка по кредитной карте / страховка по кредиту,УВ Страхование (UV_Insurance),Страхование (_Local_Insurance),,
Рассказать о действующий,Действующая карта (CurrentCard),Имеющийся кредит (_Local_Current_Credit),МФО (_Local_Current_MFO),
Убрать,Отказаться  (_Local_Refuse),,,
Отменить,Отказаться  (_Local_Refuse),Отменить перевод (_Local_Cancel_Transfer_Payment),Отменить платеж (_Local_Cancel_Payment),
Лимит внесение наличных,Вместо консультации на оператора,,,
узнать статус карты ,Статус (_Local_Status),_General Готовность карт (_General_TAKE_CARD) ,Готовность карт (CardReadiness) ,
Авторизовать номер телефона,_General_Подтверждение сим-карты (_General_Sim_Confirmation),подтверждение симкарты (_Local_Sim_Confirmation),,
вопрос по карте по карте пришло сообщение,УВ Карта (UV_Card),Карта (_Local_Card),,
Оформила зп карту ,УВ Дебетовая карта (UV_Debitcard),Дебетовая карта (_Local_Debit_Card),Зарплатный (счет/ карта) _Local_Salary,_General_ИЗК (_General_IZK)
Кредитная  карта/  кредитная карта,УВ Кредитная карта (UV_CreditCard),Кредитная картаКредитка (_Local_Credit_Card),Кредитная карта (именно карта) (_Local_CreditCard_Karta),
Не заходит в приложение говорит что поменялся номер телефона ,Смена номера телефона (_General_Change_phone),Привязать номер (_Local_Bind_Number),,
 Онлайн,АМ Подключение (_General_AM_Connection),Приложение или -Онлайн (_Local_AM_Online),-Онлайн (_Local_AO),
Клиент банк,АМ Подключение (_General_AM_Connection),Приложение или -Онлайн (_Local_AM_Online),Приложение (_Local_Application),-Онлайн (_Local_AO)
Заблокировали номер телефона,_General_Подтверждение сим-карты (_General_Sim_Confirmation),подтверждение симкарты (_Local_Sim_Confirmation),,
Не зачислил деньги,Не зачислил деньги на карту (_Local_Didnt_Money_On_Card),,,
Набор цифр + тематика,Тематика ,,,
Незаконно снимают комиссию,УВ_ Странные операции(UV_ Strange_operation),,,
Счет кредитной карты,Кредитная картаКредитка (_Local_Credit_Card),Счет кредитной карты (_Local_CreditCard_Account),,
Терминал,Терминалы партнеров (_Local_PartnerSalon_PaymentTerminal),,,
Перевод / сделать перевод,УВ Перевод (UV_Remittance),Перевод (_Local_Remittance),,
Я переводил,Я (переводил) (_Local_I_Did),Статус (_Local_Status),,
Расторгнуть договор по договору  банка,-Банк (_Local_bank),,,
Мне перевели / я переводил себе на альфу,Мне (переводили) (_Local_To_Me),Статус (_Local_Status),,
Переводил/ был перевод / сделал перевод / я переводил себе,Статус (_Local_Status),,,
Хочу получить кредитную карту,УВ Кредитная карта (UV_CreditCard),Кредитная картаКредитка (_Local_Credit_Card),,
Процент,_General Без вопроса (_General_Whithout_Question),,,
Хочу узнать о процентной ставке,Условия (_Local_Conditions),,,
"Маты, обзывание, ругательство (кожаный, петух, блять) и да",Да (Agree),,,
Положила деньги но их на карте нет,Не зачислил деньги на карту (_Local_Didnt_Money_On_Card),Не дошел (платеж) (_Local_Not_Received),Статус (_Local_Status),
неправильная сумма/неверный процент,Не правильные начисления (_Local_Incorrect_Accrual),,,
Не пришли проценты,Не дошел (платеж) (_Local_Not_Received),,,
"Мне звонили, пытаются оформить кредит (то есть попытка)",Мошенничество (_General_Fraud),Мошенничество (_Local_Fraud),,
Меня обманули мошенники/ у меня мошеннические действия происходят,Мошенничество (_General_Fraud),Мошенничество (_Local_Fraud),,
получить секретный код,Настроить секретный код (_General_Setup_Secret_Code) ,,,
корпоративная карта,_General Юрики (_General_Entity),Юрлица (_Local_Business),,
"как узнать зашел ли транш второй от банка/
получить транш",_General Юрики (_General_Entity),Юрлица (_Local_Business),,
Не работает терминал / не проходит оплата по терминалу / не проходит оплата по эквайрингу,_General Юрики (_General_Entity),Юрлица (_Local_Business),,
по задолженности/не гасится задолженность/ условия дату суммы платежа,_General Платеж по кредиту (_General_DIS),Кредит (_Local_Credit),Платеж по кредитному продукту (_Local_DIS),
Секретный код,Что такое секретный код (_General_About_Secret_Code),Получается (или дословно Можно войти) (_Local_Can_Enter),,
Оплатить карту/Cколько я буду платить за свою карту в месяц,Условия (_Local_Conditions),Кредит (_Local_Credit),_General Платеж по кредиту (_General_DIS),Платеж по кредитному продукту (_Local_DIS)
Несанкционированные звонки,_General Мошенничество (_General_Fraud),Реклама (_Local_Advertising),Мошенничество (_Local_Fraud),
Платеж в терминале,УВ Платеж (UV_Payment),Карта (_Local_Card),,
"Платил в АО, АМ",УВ Платеж (UV_Payment),Приложение или -Онлайн (_Local_AM_Online),,
Возврат денег / возврат за покупку,_General Отмена платежа (_General_Cancel_Payment),,,
Сколько я могу потратить денег,УВ Лимит (UV_Limit),Лимиты (_Local_Limits),,
Не отображается перевод в операциях,"Статус (_Local_Status)
",Не дошел (платеж) (_Local_Not_Received),,
разблокировать карты приложение интернет банк ,_General Разблокировать приложение (_General_Unlock_App),Нет доступа (_Local_No_Access),,
Наличными в отделении,Заказ денег УКД (_Local_Zakaz_Dengi_UKD),,,
так мне надо подключить приложение на другом устройстве,скачать/обновить (_Local_Download),,,
у меня был займа денег,_General МФО (_General_MFO),МФО (_Local_Current_MFO),,
задолженнность по займу ,МФО (_Local_Current_MFO),,,
мошеннические операции по моей карте,_General Мошенничество_UNI (_General_Fraud_UNI),,,
статус претензии,_General Статус претензии (_General_ClaimStat),Узнать статус обращения (_Local_Claim_Status),,
